,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,SES Percentage,Asian,african american,latinx,white,Chance of Admit
346,320.0,108.0,3,3.5,4.0,8.44,1,39,0,0,0,1,0.76
347,314.0,102.0,2,2.0,2.5,8.24,0,96,0,0,0,1,0.64
348,318.0,106.0,3,2.0,3.0,8.65,0,47,0,0,0,1,0.71
349,326.0,112.0,4,4.0,3.5,9.12,1,24,0,0,0,1,0.84
350,329.0,111.0,4,4.5,4.0,9.23,1,42,0,0,0,1,0.89
351,324.0,110.0,3,3.5,3.5,9.04,1,60,0,0,0,1,0.82
352,325.0,107.0,3,3.0,3.5,9.11,1,30,0,0,1,0,0.84
353,330.0,116.0,4,5.0,4.5,9.45,1,99,0,0,0,1,0.91
354,312.0,103.0,3,3.5,4.0,8.78,0,12,0,1,0,0,0.67
355,333.0,117.0,4,5.0,4.0,9.66,1,7,1,0,0,0,0.95
